emission rate,date,"Latitude, Longitude"
4494.226203,2019-10-02 7:07:19,"(39.46850338379474, 53.645555662336626)"
5767.202135,2019-10-07 7:07:51,"(39.497660942920355, 53.6389869356966)"
2395.237533,2019-10-07 7:07:51,"(39.46935587668096, 53.64768015117591)"
6118.053922,2019-10-12 7:08:29,"(39.49767677354882, 53.63828985592676)"
5430.149861,2019-10-15 7:18:49,"(39.49625243718541, 53.63753831033169)"
5907.056077,2019-10-17 7:09:01,"(39.49697251864695, 53.6375655424808)"
5953.392037,2019-10-17 7:09:01,"(39.46885284795237, 53.64603383164947)"
3174.126367,2019-10-22 7:09:29,"(39.4975231282578, 53.63712124791159)"
6870.764861,2019-10-22 7:09:29,"(39.463101201703445, 53.66906021286714)"
18628.22568,2019-11-26 7:12:31,"(39.45698394366019, 53.621179587102326)"
21825.32008,2020-01-28 7:21:41,"(39.499232904778246, 53.633232299093336)"
23500.84474,2020-03-05 7:07:51,"(39.45416963130971, 53.665697507345925)"
7218.589842,2020-03-25 7:06:21,"(39.49680832006878, 53.63686166245379)"
10343.8627,2020-03-28 7:16:11,"(39.497168360974534, 53.63687527518419)"
16263.01283,2020-03-30 7:06:19,"(39.49844959435529, 53.63599347008027)"
16017.66299,2020-05-19 7:06:19,"(39.49372200417687, 53.645814288002086)"
9832.233638,2020-05-22 7:16:19,"(39.49900019855629, 53.6355491539917)"
30526.16195,2020-05-24 7:06:31,"(39.49674500791629, 53.63964994674777)"
8259.545596,2020-05-27 7:16:21,"(39.46364125209279, 53.6690808564917)"
16760.51312,2020-05-29 7:06:19,"(39.4971261597562, 53.638734141926825)"
10189.5796,2020-06-01 7:16:19,"(39.4985504870543, 53.63948572194393)"
5432.351377,2020-06-03 7:06:31,"(39.49716308744542, 53.637107633740776)"
20110.22565,2020-06-06 7:16:21,"(39.49339370157327, 53.64440656427549)"
6334.534756,2020-06-08 7:06:29,"(39.49774005432294, 53.635501531350535)"
2334.52346,2020-07-03 7:06:31,"(39.46889514074595, 53.644175728378656)"
8011.617871,2020-07-06 7:16:21,"(39.46851924408549, 53.6448588772851)"
7089.274722,2020-07-08 7:06:29,"(39.500080321928564, 53.635589975778664)"
5969.217897,2020-07-18 7:06:19,"(39.468296920801556, 53.64671014470666)"
5319.007247,2020-07-28 7:06:29,"(39.455726771442066, 53.61299769362679)"
2688.805168,2020-07-31 7:16:19,"(39.494113284932915, 53.63652722630917)"
8811.675564,2020-08-27 7:06:29,"(39.49825275032707, 53.62877661550131)"
5622.726067,2020-08-30 7:16:19,"(39.49810009556532, 53.63551513751429)"
3352.564922,2020-09-04 7:16:21,"(39.49828538666051, 53.63528957811523)"
6330.619486,2020-09-14 7:16:21,"(39.496400801887056, 53.63893925324777)"
11517.01979,2020-09-16 7:06:19,"(39.49350992378852, 53.639294968067844)"
24376.60369,2020-09-19 7:16:19,"(39.49843905007401, 53.63645819599422)"
13288.0455,2020-09-21 7:06:31,"(39.495002842019076, 53.637025953845125)"
25890.18581,2020-09-26 7:06:39,"(39.49131261294448, 53.65665217922858)"
2691.893152,2017-07-29 7:06:21,"(38.558490633349955, 54.204226487430006)"
3625.438417,2018-05-25 7:06:21,"(38.570943688974104, 54.17505273474183)"
3978.887207,2018-06-04 7:06:21,"(38.568493947057625, 54.193051189963754)"
6572.119368,2019-04-05 7:06:29,"(38.55660264657679, 54.20062796936976)"
3178.201312,2019-04-10 7:06:21,"(38.557131747805215, 54.20014846635383)"
1250.519888,2019-04-25 7:06:29,"(38.55972340723737, 54.203031237865325)"
4744.20511,2019-04-30 7:06:31,"(38.55732823401908, 54.200829289882265)"
827.4116791,2019-05-10 7:06:31,"(38.55993527008125, 54.19682673445981)"
5010.3998,2019-05-25 7:06:29,"(38.557857335889025, 54.20034978314033)"
3336.877763,2019-05-30 7:06:21,"(38.55696818352971, 54.20084326403207)"
3800.516267,2019-06-04 7:06:29,"(38.55695721006669, 54.20038472468757)"
2049.380494,2019-06-14 7:06:29,"(38.55772119495369, 54.20219094870506)"
2297.513611,2019-06-19 7:06:31,"(38.55917784825262, 54.20282290714093)"
3425.316909,2019-06-24 7:06:29,"(38.55928107193227, 54.199606042621575)"
11323.82311,2019-06-29 7:06:31,"(38.558899062706445, 54.19870292155705)"
4201.67389,2019-06-29 7:06:31,"(38.55749179807048, 54.2001344886564)"
3685.350153,2019-07-04 7:06:29,"(38.55785184830924, 54.200120510709326)"
5206.46948,2019-07-09 7:06:31,"(38.55808124581171, 54.202176980901925)"
6359.725972,2019-07-19 7:06:31,"(38.5572194930292, 54.20381679622548)"
5719.503596,2019-07-24 7:06:29,"(38.55680461500154, 54.20153805878672)"
5750.636926,2019-07-29 7:06:31,"(38.55783538287969, 54.19943269379081)"
852.7570564,2019-08-13 7:06:29,"(38.55506911128554, 54.196786388604224)"
5050.717908,2019-08-18 7:06:21,"(38.55851155419015, 54.19757053634395)"
426.4687859,2019-08-18 7:06:21,"(38.557677310737816, 54.2003567715746)"
10117.67756,2019-08-23 7:06:29,"(38.55821189852152, 54.20010653251259)"
4007.055125,2019-09-02 7:06:29,"(38.55749728557996, 54.20036375994645)"
5272.179903,2019-10-02 7:07:19,"(38.55640615944828, 54.19994715319486)"
2384.402272,2019-10-07 7:07:51,"(38.55789573639318, 54.20195469190454)"
18362.08048,2019-10-12 7:08:29,"(38.55750825925385, 54.20082230271376)"
1321.310678,2019-10-17 7:09:01,"(38.55738195372522, 54.19554907596892)"
5903.880574,2019-10-22 7:09:29,"(38.55750277264109, 54.2005930312989)"
4960.892296,2019-10-27 7:10:01,"(38.5580538211882, 54.20103061402258)"
4170.891596,2019-11-01 7:10:29,"(38.555456625397035, 54.19791871618478)"
3899.694138,2020-01-25 7:11:51,"(38.55785184830924, 54.200120510709326)"
1374.776397,2020-03-30 7:06:19,"(38.558834243042924, 54.20352470055273)"
5196.743841,2020-04-14 7:06:21,"(38.556918788823, 54.19877983894786)"
3972.500921,2020-04-19 7:06:19,"(38.55888355616871, 54.20558818876864)"
2880.559279,2020-04-29 7:06:19,"(38.55781435363395, 54.20608858835719)"
9664.392039,2020-05-04 7:06:31,"(38.55875746154581, 54.200314840032874)"
5560.033817,2020-05-09 7:06:19,"(38.55835898809044, 54.19872389977662)"
2596.637986,2020-05-19 7:06:19,"(38.55722497329464, 54.20404606737249)"
1081.247288,2020-06-03 7:06:31,"(38.558299647117764, 54.20377491715074)"
3410.556604,2020-06-03 7:06:31,"(38.55640067125301, 54.199717885452394)"
2467.478066,2020-06-08 7:06:29,"(38.55749179807048, 54.2001344886564)"
2655.522097,2020-06-13 7:06:31,"(38.557148208777704, 54.20083627698837)"
1844.496295,2020-06-23 7:06:31,"(38.557443348577216, 54.20564399202019)"
4801.74843,2020-07-03 7:06:31,"(38.55891004322004, 54.199161472578346)"
2387.853843,2020-07-08 7:06:29,"(38.55871354694686, 54.19848063951289)"
5300.331633,2020-07-18 7:06:19,"(38.55681009968031, 54.20176732816926)"
2410.294869,2020-07-28 7:06:29,"(38.5577047417355, 54.20150313181324)"
2399.698853,2020-08-02 7:06:31,"(38.555767229814826, 54.195841341228444)"
6428.596663,2020-08-12 7:06:31,"(38.55898685659606, 54.20237133671816)"
5568.524223,2020-09-01 7:06:31,"(38.557699256432684, 54.20127385964072)"
1058.379676,2020-09-16 7:06:19,"(38.556641042220775, 54.202232850617655)"
4358.830575,2020-10-01 7:07:21,"(38.55526012314365, 54.19723791899579)"
3381.749109,2020-10-11 7:08:31,"(38.557714513096045, 54.19438872023194)"
932.935796,2020-10-16 7:08:59,"(38.559036190215316, 54.20443482726388)"
960.7911714,2018-08-29 6:36:19,"(36.49259040614914, 61.66880551191696)"
148.5343517,2018-08-29 6:36:19,"(36.49270208443613, 61.6788515230826)"
901.4284895,2019-08-19 6:36:31,"(36.49215142407943, 61.67796773408494)"
1464.534128,2020-08-13 6:36:31,"(36.49218238381619, 61.697169807371765)"
2328.418792,2020-10-07 6:37:49,"(36.49275883792177, 61.68398617231835)"
3343.352277,2020-10-22 6:39:31,"(36.49257611867892, 61.68376597698839)"
797.3419664,2018-09-05 6:26:19,"(38.73460706582867, 64.61867372962926)"
1977.181127,2018-09-10 6:26:31,"(38.730839556453695, 64.61743828853925)"
671.167855,2018-09-15 6:26:19,"(38.73388641274944, 64.61865746118025)"
3969.13233,2019-05-08 6:26:31,"(38.73480633483625, 64.61729767464972)"
1257.836527,2019-06-27 6:26:31,"(38.733895967355515, 64.61796740891259)"
2091.83112,2019-07-07 6:26:31,"(38.73157930032591, 64.616074482046)"
2214.768533,2019-07-12 6:26:39,"(38.73284680525456, 64.61564287577266)"
5565.81203,2019-07-22 6:26:39,"(38.73026721457997, 64.6197261563226)"
1096.709871,2019-08-01 6:26:39,"(38.732856341853044, 64.61495283247967)"
2115.05708,2019-08-06 6:26:31,"(38.72630043340585, 64.61986663569432)"
1505.267649,2019-08-11 6:26:39,"(38.734249924662706, 64.61843557679116)"
1615.976578,2019-08-16 6:26:31,"(38.73026402695302, 64.61995616194497)"
3051.233878,2019-08-21 6:26:39,"(38.73357063893532, 64.61542909662471)"
1947.920944,2019-08-26 6:26:31,"(38.7313991367401, 64.61607042184738)"
673.2626574,2019-08-31 6:26:29,"(38.73281498719185, 64.61794301772194)"
3196.706948,2019-09-05 6:26:31,"(38.73407613069537, 64.6179714742383)"
1161.816871,2019-11-09 6:30:59,"(38.733320424514936, 64.62048538414929)"
3831.119595,2019-11-14 6:31:21,"(38.73588094795618, 64.61778210564901)"
4097.367597,2019-12-24 6:32:51,"(38.73753741562797, 64.6152883714224)"
1456.823467,2020-03-28 6:26:29,"(38.73352290044165, 64.61887934336916)"
2409.727261,2020-04-22 6:26:31,"(38.736585675228206, 64.61894849687553)"
2738.900589,2020-08-10 6:26:31,"(38.734673864289036, 64.61384330839195)"
862.8340225,2020-10-29 6:30:11,"(38.7348095175451, 64.61706765415869)"
1313.830392,2020-11-03 6:30:29,"(38.734790414506634, 64.61844777655959)"
967.3152348,2021-02-11 6:30:09,"(38.73408249821182, 64.61751143805674)"
1025.815937,2021-02-26 6:28:31,"(38.73299515056728, 64.61794708282949)"
4757.685929,2017-12-01 10:33:59,"(28.45998861799093, 1.5046158759741346)"
3305.002943,2019-01-26 17:36:11,"(32.306995221253096, -103.78768635381932)"
4350.661754,2020-06-04 17:28:59,"(31.63554552383428, -103.63388738617984)"
6771.872847,2020-08-03 17:28:59,"(31.635006594596984, -103.63410614721556)"
3640.002805,2020-07-09 17:29:01,"(31.735834512774307, -102.03886478391244)"
12289.27701,2020-07-11 17:18:59,"(31.73537720818964, -102.0424665043069)"
11238.23901,2020-07-14 17:28:59,"(31.736429033464663, -102.04116698559092)"
12362.38656,2020-07-16 17:19:01,"(31.73195335756276, -102.04257536687774)"
3174.46763,2020-08-05 17:19:01,"(31.735732716022866, -102.04224418930902)"
8778.941049,2020-08-08 17:29:11,"(31.732308866275748, -102.04235306156379)"
4318.36616,2020-08-23 17:28:59,"(31.732162933077664, -102.0438347181764)"
9534.865678,2020-08-30 17:18:59,"(31.732864163695034, -102.04296841716173)"
11448.10008,2020-09-07 17:29:01,"(31.73375538447978, -102.04251807309721)"
6045.303716,2020-09-24 17:20:51,"(31.73515867125355, -102.04859272585055)"
2610.856711,2020-10-13 10:19:09,"(31.778673888571358, 5.995009088336441)"
1619.680328,2020-10-13 10:19:09,"(31.768629007056106, 6.000384370722996)"
1163.749929,2020-10-15 10:10:31,"(31.776311488451753, 5.995777289044968)"
4516.203047,2020-10-15 10:10:31,"(31.767557783361678, 5.999927610875861)"
3931.796668,2020-10-18 10:20:41,"(31.77779276943776, 5.994136255015019)"
6133.65243,2020-10-18 10:20:41,"(31.767432256355647, 5.997601686951714)"
1105.760383,2020-10-20 10:09:49,"(31.778143232234715, 5.99456976384119)"
1899.330807,2020-10-20 10:09:49,"(31.76883903152311, 5.9991246616193585)"
1709.972661,2020-10-23 10:20:29,"(31.776866970961635, 5.995161907401567)"
1739.695165,2020-10-23 10:20:29,"(31.769510086036878, 6.001257166214468)"
1478.153644,2020-10-25 10:11:21,"(31.776356169154187, 5.993878832537037)"
2023.071255,2020-10-25 10:11:21,"(31.765114552017312, 5.996471528938287)"
1214.569333,2020-10-28 10:21:41,"(31.77777787712985, 5.99476908395183)"
953.1702382,2020-10-28 10:21:41,"(31.769959955670824, 5.997472176228765)"
771.6348114,2020-11-02 10:21:59,"(31.777797732843023, 5.993925311932015)"
1898.603709,2020-11-02 10:21:59,"(31.767437224058185, 5.997390768048239)"
5286.706271,2020-11-07 10:22:31,"(31.778143232234715, 5.99456976384119)"
2887.533076,2020-11-07 10:22:31,"(31.76863895166123, 5.999962528511054)"
1270.922401,2020-11-12 10:22:59,"(31.777977928276858, 5.993931122090505)"
2105.411907,2020-11-12 10:22:59,"(31.76936822227481, 5.991964899954105)"
2458.148996,2020-11-14 10:13:01,"(31.779414527812197, 5.994188551985428)"
1908.286161,2020-11-14 10:13:01,"(31.76954986863587, 5.999569781476262)"
2013.345397,2020-11-17 10:23:21,"(31.778298601288494, 5.9956302955595815)"
3073.979899,2020-11-17 10:23:21,"(31.768804228821846, 6.000601112762091)"
2506.971965,2020-11-24 10:13:41,"(31.774228552113843, 5.99233257374711)"
2345.622117,2020-11-24 10:13:41,"(31.767557783361678, 5.999927610875861)"
3147.809726,2020-11-27 10:24:01,"(31.778318462997, 5.994786519477912)"
1740.689259,2020-11-27 10:24:01,"(31.76845875695978, 5.999956708774903)"
2758.036525,2020-11-29 10:13:59,"(31.777577820675276, 5.995607041769564)"
2657.983238,2020-11-29 10:13:59,"(31.768208921710983, 6.002903768780333)"
1375.808845,2020-12-04 10:14:11,"(31.77884415273906, 5.995436791282691)"
1906.790729,2020-12-04 10:14:11,"(31.76988539624138, 6.000636039924597)"
2322.241649,2020-12-07 10:24:11,"(31.778278734000878, 5.996474070808338)"
3492.613724,2020-12-07 10:24:11,"(31.769655452176043, 6.002739450472058)"
9963.444362,2020-12-24 10:14:31,"(31.778138267714002, 5.994780707583842)"
11823.85924,2020-12-24 10:14:31,"(31.770120275755872, 5.998321691251887)"
3623.355285,2020-12-27 10:24:31,"(31.77794317687477, 5.995407725433874)"
2713.171977,2020-12-27 10:24:31,"(31.767818666809287, 6.004157629999635)"
1631.557351,2021-01-01 10:23:29,"(31.778493693335175, 5.995003275930398)"
1541.309443,2021-01-01 10:23:29,"(31.769349785523293, 6.000407653450241)"
625.7191043,2021-01-11 10:23:09,"(31.777247219554013, 5.994329765435482)"
2039.055561,2021-01-18 10:12:49,"(31.78178319881853, 6.000809411792514)"
1656.27673,2021-01-18 10:12:49,"(31.76821389830094, 6.00269284914147)"
1146.654336,2021-02-12 10:11:31,"(31.778083634972628, 5.997101085317433)"
1271.557751,2021-02-12 10:11:31,"(31.768619061056757, 6.000806212726448)"
2864.804217,2017-10-28 10:01:21,"(28.69894550531446, 7.586596568449829)"
2502.352353,2017-11-07 10:02:21,"(28.69714505780588, 7.587030184375552)"
5059.459912,2017-12-27 10:04:11,"(28.72189550099888, 7.521584508195882)"
7067.079193,2017-12-27 10:04:11,"(28.70040210861137, 7.587805299006852)"
1875.423893,2018-03-20 10:10:21,"(28.7222564339762, 7.521579429851351)"
850.802222,2018-05-26 10:00:31,"(28.69607717797354, 7.588477492912318)"
2961.458994,2018-06-05 10:00:31,"(28.696981675706226, 7.588670066454257)"
4922.526283,2018-06-25 10:00:31,"(28.700053977661035, 7.589038275076279)"
1638.144088,2018-12-07 10:04:09,"(28.695858220621787, 7.584795674840605)"
2489.239166,2018-12-12 10:04:01,"(28.696612188139728, 7.587856183051138)"
2037.453393,2019-01-04 10:14:11,"(28.695673466133265, 7.584388743993992)"
3508.742503,2019-01-06 10:04:09,"(28.697680060763652, 7.586408860896352)"
3375.92239,2019-01-09 10:14:09,"(28.700215225151677, 7.587193656753134)"
3669.866433,2019-01-26 10:03:09,"(28.696438123000824, 7.588472649474503)"
4449.41868,2019-01-31 10:02:41,"(28.697334077923497, 7.587846491608877)"
1602.669639,2019-02-13 10:11:31,"(28.6954994167817, 7.585005209871702)"
1811.56067,2019-05-16 10:00:39,"(28.696981675706226, 7.588670066454257)"
3376.679137,2019-05-29 10:10:39,"(28.696612188139728, 7.587856183051138)"
1389.707643,2019-06-28 10:10:39,"(28.696970996601888, 7.587646655160204)"
4261.019437,2019-07-10 10:00:31,"(28.697149332264342, 7.587439549394667)"
2924.031808,2019-07-13 10:10:31,"(28.696983810598795, 7.588874748779803)"
2240.753815,2019-07-18 10:10:39,"(28.696601503005752, 7.58683277571109)"
3188.295675,2019-07-20 10:00:31,"(28.696981675706226, 7.588670066454257)"
1240.942773,2019-07-23 10:10:31,"(28.700232315245675, 7.588831165267543)"
3954.049605,2019-07-25 10:00:39,"(28.696981675706226, 7.588670066454257)"
1564.873323,2019-07-28 10:10:29,"(28.69750600255051, 7.587025335758205)"
968.1246994,2019-08-04 10:00:39,"(28.696790524169337, 7.587649078360536)"
2234.776706,2019-08-07 10:10:29,"(28.69642957928925, 7.587653924694428)"
1967.508058,2019-08-12 10:10:31,"(28.696438123000824, 7.588472649474503)"
592.7691524,2019-08-14 10:00:39,"(28.696981675706226, 7.588670066454257)"
4232.318988,2019-12-22 10:03:29,"(28.696792660593175, 7.587853760223953)"
8050.159557,2020-02-05 10:02:11,"(28.696805472638125, 7.589081851871665)"
7160.051424,2020-07-19 10:00:29,"(28.699287192225537, 7.584749539002238)"
1957.110198,2020-07-22 10:05:59,"(28.69744602927651, 7.581294215203959)"
1693.105933,2020-07-24 10:00:31,"(28.704359671926372, 7.586523802097442)"
1767.593809,2020-07-27 10:10:31,"(28.698386972351607, 7.584966365502587)"
4028.169738,2020-07-29 10:00:29,"(28.700221636257996, 7.587807722279132)"
1825.432944,2020-08-01 10:05:59,"(28.696595088212206, 7.586218731574267)"
3338.734737,2020-08-03 10:00:31,"(28.700225908781494, 7.58821709940775)"
4167.862751,2020-08-06 10:10:31,"(28.6973362140856, 7.588051174547236)"
1180.490071,2020-08-11 10:05:59,"(28.69930858808915, 7.586796404648284)"
3394.390284,2020-08-13 10:00:31,"(28.70003261520253, 7.586991392942822)"
274.3947953,2020-08-13 10:00:31,"(28.657364575480404, 7.546228182177974)"
4995.178045,2020-08-16 10:10:31,"(28.7005718940761, 7.58677942977076)"
2346.203966,2020-08-21 10:05:59,"(28.700215225151677, 7.587193656753134)"
3260.082082,2020-08-23 10:00:31,"(28.700395697457342, 7.587191232427993)"
2541.649558,2020-09-05 10:10:31,"(28.69568630916669, 7.58561682073842)"
1463.220258,2020-09-12 10:00:31,"(28.70464669765565, 7.596756245600163)"
3128.761392,2020-09-12 10:00:31,"(28.696981675706226, 7.588670066454257)"
2437.925996,2020-09-15 10:10:31,"(28.696603640651407, 7.587037457134576)"
2619.305045,2020-09-17 10:00:29,"(28.704829293780783, 7.596958535543469)"
3480.76685,2020-09-30 10:07:29,"(28.697508139966278, 7.58723001895843)"
2375.743563,2020-10-02 10:00:31,"(28.697690749469228, 7.587432278540658)"
2194.238903,2020-11-19 10:13:19,"(28.696792660593175, 7.587853760223953)"
3725.229074,2020-12-04 10:14:11,"(28.705983921031667, 7.586501968281894)"
4792.030306,2021-01-25 10:02:09,"(28.697338349938256, 7.588255857507845)"
1164.531025,2021-01-28 10:11:59,"(28.698041005382787, 7.5864040100399475)"
1757.231841,2021-05-30 6:36:31,"(38.84177466855303, 62.84363531498635)"
6014.829418,2021-06-09 6:36:31,"(38.84195551598569, 62.84409583295992)"
4178.818745,2021-07-04 6:36:29,"(38.840875964882265, 62.84548090906597)"
2833.753087,2021-07-14 6:36:29,"(38.84069389626511, 62.84409858590343)"
2768.570575,2021-07-24 6:36:29,"(38.83997235456641, 62.843639259301206)"
2548.973374,2021-07-29 6:36:31,"(38.84051366485414, 62.84409897916699)"
4082.996398,2021-08-03 6:36:29,"(38.83943011228211, 62.84248820221961)"
2824.732144,2021-08-08 6:36:31,"(38.840693280228024, 62.84363768161764)"
8385.545295,2020-08-08 17:29:11,"(31.542074359668685, -103.35696016162966)"
5892.685635,2019-05-15 10:30:29,"(32.97773808054883, 3.500108232471571)"
40.3494985,2019-05-15 10:30:29,"(32.97538599493144, 3.5018072441818084)"
62.88574364,2019-05-15 10:30:29,"(32.973062160008055, 3.496443399376428)"
112.0517967,2019-05-15 10:30:29,"(32.973597400409574, 3.497944599920087)"
1433.595394,2017-10-13 6:38:09,"(36.513002725399666, 61.738810040384614)"
2562.139915,2017-10-18 6:38:51,"(36.56850629056633, 61.70281758215089)"
2352.091543,2017-10-18 6:38:51,"(36.51407483396362, 61.737899240996725)"
2125.992943,2017-11-02 6:40:09,"(36.56689128515168, 61.70351509619174)"
2258.272336,2017-11-02 6:40:09,"(36.51354350412679, 61.73880126467163)"
5514.612611,2018-01-01 6:42:49,"(36.576161891222554, 61.7105130075125)"
3155.162405,2018-01-01 6:42:49,"(36.51407010703648, 61.73745261728884)"
2524.361369,2018-05-21 6:36:29,"(36.56729777605113, 61.674900014869365)"
1331.175305,2018-05-26 6:36:31,"(36.570707675597454, 61.67350068436888)"
462.064179,2018-06-30 6:36:29,"(36.566855068084735, 61.667532061883826)"
1791.150635,2018-06-30 6:36:29,"(36.56450171412824, 61.69930863986113)"
315.5409927,2018-07-15 6:36:31,"(36.567057784811404, 61.66954008844483)"
1326.730721,2018-07-20 6:36:29,"(36.56523004782267, 61.69996691680633)"
754.6109997,2018-08-19 6:36:19,"(36.529574996575896, 61.67107601512525)"
1860.967737,2018-08-19 6:36:19,"(36.510758608391264, 61.6977518546591)"
542.4792205,2018-08-19 6:36:19,"(36.51276330357307, 61.733230264690036)"
500.8926202,2018-08-24 6:36:21,"(36.52621047764172, 61.66041117924104)"
260.1485346,2018-08-29 6:36:19,"(36.52923438674592, 61.672868980101725)"
761.017629,2018-09-03 6:36:21,"(36.52818761723224, 61.67601431426643)"
2402.014481,2018-09-03 6:36:21,"(36.50928321589052, 61.74512381826394)"
2105.277709,2018-09-03 6:36:21,"(36.49616997109539, 61.69911268508265)"
1929.701468,2018-09-13 6:36:21,"(36.51121900491866, 61.740625721522306)"
1848.818673,2018-09-18 6:36:19,"(36.51161249289209, 61.743746151651386)"
660.6633603,2018-09-23 6:36:21,"(36.56723304873972, 61.66909007903051)"
1431.889791,2018-09-28 6:36:29,"(36.51208015964607, 61.73681491049376)"
2946.479321,2018-10-03 6:37:11,"(36.56836687021154, 61.67376422506991)"
4594.265973,2018-10-03 6:37:11,"(36.56723477270416, 61.70194483789617)"
513.7582841,2018-10-18 6:38:49,"(36.52821583058361, 61.66238709535672)"
497.8223972,2018-10-23 6:39:21,"(36.53107732194711, 61.660327239659175)"
3778.849007,2019-08-14 6:36:29,"(36.56456253731294, 61.70489498727806)"
1040.128598,2019-08-24 6:36:29,"(36.55632385644533, 61.743693082443066)"
2664.382521,2019-09-18 6:36:31,"(36.515320097928075, 61.73631554049608)"
1719.901349,2019-09-28 6:36:31,"(36.50959195068499, 61.740205409201906)"
903.6574462,2019-10-03 6:37:09,"(36.51352696459431, 61.73723809229108)"
437.9493568,2019-12-22 6:42:59,"(36.50290227755404, 61.67197871494864)"
1733.606664,2020-03-01 6:38:09,"(36.5055886912649, 61.670369554758594)"
1320.814051,2020-05-30 6:36:29,"(36.49883481844336, 61.69549521713148)"
215.0693393,2020-06-04 6:36:31,"(36.56701308974777, 61.698149018882226)"
361.3014864,2020-06-04 6:36:31,"(36.50241796258583, 61.69342525845711)"
513.2369378,2020-06-14 6:36:31,"(36.56827731553772, 61.698351304489854)"
1935.032385,2020-06-29 6:36:29,"(36.56597541821479, 61.70218941179089)"
3216.6823,2020-07-14 6:36:31,"(36.5645431023626, 61.703107354282224)"
3822.952894,2020-07-14 6:36:31,"(36.501901627440596, 61.69566707702374)"
953.054617,2020-07-19 6:36:29,"(36.51229044871167, 61.67315837324777)"
